编号,牌名,核心关键词,建议/启示
0,愚人,开始、冒险、纯真,抛开恐惧，勇敢迈出第一步。
1,魔术师,创造力、资源、意志,你已经拥有了成功所需的一切工具。
2,女祭司,直觉、秘密、被动,保持沉默，向内观察，等待时机。
3,皇后,丰盛、感性、孕育,关注创造力、美和滋养他人的能力。
4,皇帝,权力、结构、纪律,需要逻辑思维和严密的组织能力。
5,教皇,传统、导师、共识,寻求专业建议或遵循既定规则。
6,恋人,选择、对等、结合,面临重要的价值观抉择，不仅关乎爱情。
7,战车,意志、胜利、控制,保持专注，克服内心的矛盾。
8,力量,柔韧、勇气、耐心,用温柔和耐力而非蛮力解决问题。
9,隐士,孤独、反省、指引,暂时退出社交，寻找内心的真相。
10,命运之轮,转变、周期、运气,接受改变，意识到有些事不在控制内。
11,正义,公平、真相、后果,诚实面对自己，因果终有报。
12,倒吊人,牺牲、新视角、停滞,换个角度看世界，放弃执着。
13,死神,终结、转型、告别,彻底结束旧阶段，迎接新生。
14,节制,平衡、融合、适度,寻找中间地带，耐心调和矛盾。
15,恶魔,束缚、欲望、沉溺,警惕成瘾或受限的思维模式。
16,高塔,剧变、崩塌、启示,痛苦但必要的觉醒，打破虚假。
17,星星,希望、疗愈、愿景,经历风暴后的平静，保持乐观。
18,月亮,幻觉、恐惧、潜意识,事情尚不明朗，警惕不安的情绪。
19,太阳,成功、活力、喜悦,事情大放异彩，充满正面能量。
20,审判,召唤、觉醒、重生,过去的总结，听从灵魂的召唤。
21,世界,圆满、完成、整体,达成目标，一个阶段的完美谢幕。
